Municipio,Hoy 17/07,18/07,19/07,20/07,21/07,22/07,23/07
Alconchel de la Estrella (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Alconera (Badajoz),Moderado,Muy alto,Muy alto,Muy alto,Alto,Muy alto,Extremo
Alcorcón (Madrid),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Alcorisa (Teruel),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Alcoroches (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Alcosser (Alicante),Muy bajo,Moderado,Moderado,Muy bajo,Moderado,Moderado,Moderado
Alcover (Tarragona),Alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo
Alcubierre (Huesca),Muy alto,Moderado,Moderado,Moderado,Alto,Moderado,Extremo
Alcubilla de Avellaneda (Soria),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Alcubilla de Nogales (Zamora),Moderado,Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Alcubilla de las Peñas (Soria),Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo,Muy alto
Alcubillas (Ciudad Real),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Alcublas (Valencia),Extremo,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Alcudia de Monteagud (Almería),Extremo,Extremo,Extremo,Extremo,Muy alto,Muy alto,Extremo
Alcudia de Veo (Castellón),Muy alto,Alto,Alto,Alto,Muy alto,Alto,Muy alto
Alcuéscar (Cáceres),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Alcàntera de Xúquer (Valencia),Muy alto,Moderado,Moderado,Bajo,Bajo,Moderado,Moderado
Alcàsser (Valencia),Alto,Moderado,Moderado,Moderado,Moderado,Moderado,Moderado
Alcántara (Cáceres),Moderado,Moderado,Alto,Moderado,Moderado,Extremo,Extremo
Alcázar de San Juan (Ciudad Real),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Alcázar del Rey (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Alcóntar (Almería),Extremo,Muy alto,Extremo,Extremo,Muy alto,Muy alto,Extremo
Alcúdia (Baleares),Moderado,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
Aldaia (Valencia),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Aldea Real (Segovia),Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
Aldea de San Miguel (Valladolid),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Aldea del Cano (Cáceres),Muy alto,Muy alto,Muy alto,Muy alto,Alto,Muy alto,Extremo
Aldea del Fresno (Madrid),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Aldea del Obispo (Salamanca),Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto,Muy alto
Aldea del Rey (Ciudad Real),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Aldea en Cabo (Toledo),Muy alto,Muy alto,Extremo,Muy alto,Extremo,Extremo,Extremo
Aldeacentenera (Cáceres),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Aldeacipreste (Salamanca),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Aldeadávila de la Ribera (Salamanca),Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto,Muy alto
Aldealafuente (Soria),Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo,Muy alto
Aldealcorvo (Segovia),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Aldealengua (Salamanca),Moderado,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Aldealengua de Pedraza (Segovia),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Aldealengua de Santa María (Segovia),Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo,Extremo
Aldealices (Soria),Muy alto,Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Aldealpozo (Soria),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Alto,Muy alto
Aldealseñor (Soria),Muy alto,Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Aldeamayor de San Martín (Valladolid),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Aldeanueva de Barbarroya (Toledo),Alto,Alto,Alto,Alto,Muy alto,Extremo,Extremo
Aldeanueva de Ebro (La Rioja),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo
Aldeanueva de Figueroa (Salamanca),Alto,Alto,Muy alto,Muy alto,Alto,Extremo,Muy alto
Aldeanueva de Guadalajara (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Aldeanueva de San Bartolomé (Toledo),Moderado,Alto,Muy alto,Alto,Muy alto,Extremo,Extremo
Aldeanueva de Santa Cruz (Ávila),Alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo
Aldeanueva de la Serrezuela (Segovia),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Aldeanueva de la Sierra (Salamanca),Moderado,Alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Aldeanueva de la Vera (Cáceres),Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
Aldeanueva del Camino (Cáceres),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Aldeanueva del Codonal (Segovia),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Aldeaquemada (Jaén),Muy alto,Extremo,Muy alto,Muy alto,Extremo,Extremo,Extremo
Aldearrodrigo (Salamanca),Moderado,Moderado,Moderado,Alto,Moderado,Muy alto,Alto
Aldearrubia (Salamanca),Moderado,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Aldeaseca (Ávila),Alto,Alto,Alto,Moderado,Muy alto,Muy alto,Muy alto
Aldeaseca de Alba (Salamanca),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Aldeaseca de la Frontera (Salamanca),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Aldeasoña (Segovia),Muy alto,Extremo,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Aldeatejada (Salamanca),Alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo,Extremo
Aldeavieja de Tormes (Salamanca),Muy alto,Muy alto,Extremo,Muy alto,Muy alto,Extremo,Extremo
Aldehorno (Segovia),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Aldehuela de Liestos (Zaragoza),Muy alto,Muy alto,Extremo,Extremo,Muy alto,Muy alto,Muy alto
Aldehuela de Periáñez (Soria),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Moderado
Aldehuela de Yeltes (Salamanca),Moderado,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
Aldehuela de la Bóveda (Salamanca),Moderado,Moderado,Moderado,Moderado,Moderado,Extremo,Muy alto
Aldehuela del Codonal (Segovia),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Aldehuela del Jerte (Cáceres),Alto,Muy alto,Alto,Muy alto,Alto,Muy alto,Extremo
Aldeire (Granada),Muy alto,Muy alto,Muy alto,Muy alto,Moderado,Alto,Extremo
Aldeonte (Segovia),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Aldover (Tarragona),Moderado,Muy alto,Moderado,Alto,Muy alto,Muy alto,Muy alto
Aldovera (nan),Muy alto,Extremo,Muy alto,Extremo,Extremo,Extremo,Extremo
Aledo (Murcia),Extremo,Extremo,Muy alto,Extremo,Extremo,Muy alto,Extremo
Alegia (Guipúzcoa),Moderado,Moderado,Moderado,Muy alto,Extremo,Extremo,Extremo
Alegría-Dulantzi (Álava),Alto,Alto,Alto,Muy alto,Extremo,Extremo,Muy alto
Alella (Barcelona),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Alentisque (Soria),Extremo,Extremo,Extremo,Extremo,Muy alto,Muy alto,Muy alto
Alerre (Huesca),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Alesanco (La Rioja),Moderado,Alto,Alto,Muy alto,Muy alto,Muy alto,Muy alto
Alesón (La Rioja),Moderado,Alto,Alto,Muy alto,Muy alto,Muy alto,Muy alto
Alfacar (Granada),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Alfafar (Valencia),Moderado,Muy bajo,Bajo,Muy bajo,Moderado,Moderado,Moderado
Alfafara (Alicante),Muy alto,Alto,Alto,Alto,Moderado,Moderado,Alto
Alfajarín (Zaragoza),Muy alto,Moderado,Moderado,Moderado,Alto,Moderado,Extremo
Alfambra (Teruel),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Alfamén (Zaragoza),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Alfara de Carles (Tarragona),Alto,Muy alto,Alto,Muy alto,Muy alto,Muy alto,Muy alto
Alfara de la Baronia (Valencia),Alto,Alto,Moderado,Alto,Alto,Alto,Alto
Alfara del Patriarca (Valencia),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Alfaraz de Sayago (Zamora),Alto,Moderado,Alto,Muy alto,Muy alto,Extremo,Muy alto
Alfarb (Valencia),Moderado,Moderado,Moderado,Moderado,Moderado,Moderado,Moderado
Alfarnate (Málaga),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Alfarnatejo (Málaga),Extremo,Muy alto,Extremo,Muy alto,Extremo,Muy alto,Extremo
Alfaro (La Rioja),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo
Alfarrasí (Valencia),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Bajo,Moderado,Moderado
Alfarràs (Lleida),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Alfauir (Valencia),Moderado,Moderado,Moderado,Moderado,Bajo,Moderado,Moderado
Alfondeguilla (Castellón),Moderado,Moderado,Moderado,Moderado,Alto,Moderado,Alto
Alforja (Tarragona),Alto,Extremo,Muy alto,Extremo,Extremo,Muy alto,Extremo
Alforque (Zaragoza),Muy alto,Moderado,Moderado,Moderado,Alto,Moderado,Extremo
Alfoz (Lugo),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Bajo,Moderado,Moderado
Alfoz de Bricia (Burgos),Muy bajo,Bajo,Moderado,Alto,Muy alto,Muy alto,Muy alto
Alfoz de Lloredo (Cantabria),Muy bajo,Muy bajo,Bajo,Muy alto,Extremo,Extremo,Muy alto
Alfoz de Quintanadueñas (Burgos),Moderado,Alto,Moderado,Alto,Muy alto,Muy alto,Muy alto
Alfoz de Santa Gadea (Burgos),Muy bajo,Bajo,Bajo,Moderado,Moderado,Alto,Alto
Alfántega (Huesca),Muy alto,Muy alto,Alto,Muy alto,Alto,Muy alto,Muy alto
Alfés (Lleida),Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
Algadefe (León),Bajo,Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Algaida (Baleares),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Algar (Cádiz),Alto,Alto,Alto,Alto,Alto,Alto,Muy alto
Algar de Mesa (Guadalajara),Extremo,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Algar de Palància (Valencia),Alto,Moderado,Moderado,Moderado,Alto,Moderado,Alto
Algarinejo (Granada),Extremo,Extremo,Extremo,Muy alto,Muy alto,Extremo,Extremo
Algarra (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Algarrobo (Málaga),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy bajo,Muy bajo
Algatocín (Málaga),Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
Algeciras (Cádiz),Muy alto,Extremo,Muy bajo,Muy alto,Muy alto,Muy alto,Extremo
Algemesí (Valencia),Moderado,Moderado,Moderado,Moderado,Moderado,Moderado,Moderado
Algerri (Lleida),Extremo,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Algete (Madrid),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Algimia de Almonacid (Castellón),Muy alto,Alto,Alto,Alto,Alto,Alto,Muy alto
Alginet (Valencia),Moderado,Moderado,Moderado,Moderado,Moderado,Moderado,Moderado
Algodonales (Cádiz),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Algodre (Zamora),Alto,Moderado,Moderado,Muy alto,Muy alto,Extremo,Muy alto
Algora (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto
Algorfa (Alicante),Muy alto,Moderado,Moderado,Moderado,Moderado,Moderado,Moderado
Alguaire (Lleida),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Alguazas (Murcia),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Algueña (Alicante),Extremo,Muy alto,Muy alto,Muy alto,Alto,Alto,Muy alto
Algámitas (Sevilla),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Algímia d'Alfara (Valencia),Alto,Moderado,Moderado,Moderado,Alto,Moderado,Alto
Alhabia (Almería),Extremo,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo
Alhama de Almería (Almería),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Alhama de Aragón (Zaragoza),Extremo,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Alhama de Granada (Granada),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Alhama de Murcia (Murcia),Extremo,Extremo,Muy alto,Extremo,Muy alto,Muy alto,Muy alto
Alhambra (Ciudad Real),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Alhaurín de la Torre (Málaga),Muy bajo,Extremo,Extremo,Extremo,Extremo,Muy bajo,Muy alto
Alhaurín el Grande (Málaga),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Alhendín (Granada),Extremo,Muy alto,Extremo,Muy alto,Extremo,Extremo,Extremo
Alhóndiga (Guadalajara),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Aliaga (Teruel),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Aliaguilla (Cuenca),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Alicún (Almería),Extremo,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Alicún de Ortega (Granada),Muy alto,Alto,Muy alto,Moderado,Extremo,Muy alto,Extremo
Alija del Infantado (León),Moderado,Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Alins (Lleida),Alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Alique (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto
Aliseda (Cáceres),Moderado,Muy alto,Moderado,Muy alto,Moderado,Muy alto,Extremo
Aliud (Soria),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto
Alió (Tarragona),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Aljaraque (Huelva),Moderado,Muy alto,Muy alto,Muy alto,Alto,Muy bajo,Extremo
Aljucén (Badajoz),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Alkiza (Guipúzcoa),Moderado,Moderado,Alto,Extremo,Extremo,Extremo,Extremo
Allande (Asturias),Muy bajo,Muy bajo,Muy bajo,Bajo,Moderado,Moderado,Alto
Allariz (Ourense),Bajo,Moderado,Moderado,Alto,Extremo,Muy alto,Muy alto
Allepuz (Teruel),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Aller (Asturias),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Bajo,Moderado,Moderado
Allo (Navarra),Muy alto,Muy alto,Alto,Muy alto,Extremo,Muy alto,Extremo
Alloza (Teruel),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Allueva (Teruel),Muy alto,Moderado,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Allín/Allin (Navarra),Bajo,Moderado,Moderado,Alto,Muy alto,Muy alto,Extremo
Almacelles (Lleida),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Almadenejos (Ciudad Real),Moderado,Alto,Muy alto,Alto,Muy alto,Muy alto,Extremo
Almadrones (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto
Almadén (Ciudad Real),Moderado,Alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Almadén de la Plata (Sevilla),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Almagro (Ciudad Real),Alto,Extremo,Muy alto,Extremo,Muy alto,Extremo,Extremo
Almajano (Soria),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Alto
Almaluez (Soria),Extremo,Muy alto,Extremo,Extremo,Muy alto,Muy alto,Muy alto
Almansa (Albacete),Extremo,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Almanza (León),Bajo,Moderado,Alto,Muy alto,Muy alto,Muy alto,Muy alto
Almaraz (Cáceres),Muy alto,Muy alto,Muy alto,Alto,Moderado,Muy alto,Extremo
Almaraz de Duero (Zamora),Muy alto,Moderado,Moderado,Muy alto,Muy alto,Muy alto,Muy alto
Almargen (Málaga),Alto,Muy alto,Muy alto,Alto,Muy alto,Alto,Extremo
Almarza (Soria),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Almarza de Cameros (La Rioja),Moderado,Alto,Alto,Muy alto,Muy alto,Extremo,Extremo
Almassora (Castellón),Muy alto,Muy alto,Alto,Muy bajo,Muy alto,Muy bajo,Muy alto
Almatret (Lleida),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Almazul (Soria),Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Almazán (Soria),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Muy alto
Almedina (Ciudad Real),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Almedinilla (Córdoba),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Almedíjar (Castellón),Muy alto,Alto,Alto,Alto,Alto,Alto,Muy alto
Almegíjar (Granada),Extremo,Muy alto,Muy alto,Muy alto,Moderado,Alto,Extremo
Almeida de Sayago (Zamora),Alto,Moderado,Alto,Muy alto,Muy alto,Extremo,Muy alto
Almenar (Lleida),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Almenar de Soria (Soria),Extremo,Extremo,Extremo,Extremo,Muy alto,Muy alto,Muy alto
Almenara (Castellón),Alto,Alto,Alto,Alto,Muy alto,Muy alto,Muy alto
Almenara de Adaja (Valladolid),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Almenara de Tormes (Salamanca),Moderado,Moderado,Moderado,Alto,Moderado,Extremo,Alto
Almendra (Salamanca),Alto,Moderado,Alto,Muy alto,Muy alto,Extremo,Muy alto
Almendral (Badajoz),Alto,Muy alto,Alto,Alto,Moderado,Muy alto,Extremo
Almendral de la Cañada (Toledo),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Almendralejo (Badajoz),Moderado,Alto,Alto,Moderado,Moderado,Alto,Extremo
Almendros (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Almensilla (Sevilla),Moderado,Muy alto,Muy alto,Muy alto,Alto,Muy alto,Muy alto
Almería (Almería),Moderado,Moderado,Moderado,Moderado,Moderado,Bajo,Moderado
Almiserà (Valencia),Moderado,Moderado,Moderado,Moderado,Bajo,Bajo,Moderado
Almochuel (Zaragoza),Alto,Moderado,Moderado,Moderado,Muy alto,Moderado,Extremo
Almodóvar del Campo (Ciudad Real),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Almodóvar del Pinar (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Almodóvar del Río (Córdoba),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Almoguera (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Almogía (Málaga),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Almohaja (Teruel),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Muy alto
Almoharín (Cáceres),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Almoines (Valencia),Moderado,Moderado,Bajo,Moderado,Bajo,Bajo,Moderado
Almonacid de Toledo (Toledo),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Almonacid de Zorita (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Almonacid de la Cuba (Zaragoza),Alto,Moderado,Moderado,Alto,Muy alto,Muy alto,Extremo
Almonacid de la Sierra (Zaragoza),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo
Almonacid del Marquesado (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Almonaster la Real (Huelva),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Almonte (Huelva),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Almoradí (Alicante),Muy alto,Moderado,Moderado,Moderado,Moderado,Moderado,Moderado
Almorox (Toledo),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Almoster (Tarragona),Alto,Extremo,Muy alto,Extremo,Extremo,Muy alto,Extremo
Almudaina (Alicante),Alto,Moderado,Moderado,Moderado,Moderado,Moderado,Moderado
Almudévar (Huesca),Muy alto,Moderado,Moderado,Alto,Muy alto,Alto,Extremo
Almunia de San Juan (Huesca),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Almuniente (Huesca),Muy alto,Muy alto,Moderado,Muy alto,Alto,Alto,Extremo
Almuradiel (Ciudad Real),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Almussafes (Valencia),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Almuñécar (Granada),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Almàssera (Valencia),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Almáchar (Málaga),Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto,Muy alto
Almócita (Almería),Extremo,Muy alto,Extremo,Muy alto,Muy alto,Muy alto,Extremo
Alobras (Teruel),Muy alto,Extremo,Muy alto,Extremo,Extremo,Extremo,Extremo
Alocén (Guadalajara),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Alonsotegi (Vizcaya),Moderado,Moderado,Moderado,Extremo,Extremo,Extremo,Extremo
Alosno (Huelva),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Alovera (Guadalajara),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Alozaina (Málaga),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Alp (Girona),Muy alto,Muy alto,Extremo,Muy alto,Extremo,Extremo,Muy alto
Alpandeire (Málaga),Muy alto,Muy alto,Extremo,Muy alto,Muy alto,Muy alto,Extremo
Alpanseque (Soria),Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo,Muy alto
Alpartir (Zaragoza),Alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Alpedrete (Madrid),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Alpens (Barcelona),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Alpera (Albacete),Extremo,Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo
Alpeñés (Teruel),Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Alpicat (Lleida),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Alpuente (Valencia),Extremo,Muy alto,Extremo,Extremo,Muy alto,Muy alto,Extremo
Alpujarra de la Sierra (Granada),Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Alquife (Granada),Muy alto,Alto,Moderado,Moderado,Moderado,Alto,Extremo
Alquézar (Huesca),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Alsodux (Almería),Extremo,Muy alto,Extremo,Muy alto,Extremo,Muy alto,Extremo
Alt Àneu (Lleida),Moderado,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Altable (Burgos),Moderado,Alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Altafulla (Tarragona),Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo
Altarejos (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Altea (Alicante),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Altorricón (Huesca),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Altsasu/Alsasua (Navarra),Alto,Moderado,Alto,Muy alto,Extremo,Extremo,Extremo
Altura (Castellón),Extremo,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Altzaga (Guipúzcoa),Moderado,Moderado,Moderado,Muy alto,Extremo,Extremo,Extremo
Altzo (Guipúzcoa),Moderado,Moderado,Moderado,Muy alto,Extremo,Extremo,Extremo
Alustante (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Alzira (Valencia),Moderado,Moderado,Moderado,Moderado,Moderado,Moderado,Moderado
Alàs i Cerc (Lleida),Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
Alájar (Huelva),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Alía (Cáceres),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Alòs de Balaguer (Lleida),Extremo,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
Amavida (Ávila),Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
Amayuelas de Arriba (Palencia),Moderado,Alto,Moderado,Muy alto,Extremo,Muy alto,Extremo
Ambel (Zaragoza),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo
Ambite (Madrid),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Amer (Girona),Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
Ames (A Coruña),Muy bajo,Bajo,Moderado,Moderado,Moderado,Moderado,Alto
Ameyugo (Burgos),Moderado,Moderado,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Amezketa (Guipúzcoa),Moderado,Moderado,Moderado,Muy alto,Extremo,Extremo,Extremo
